LogicalSite,Eas_Id,Implementation,DataCre
SITOA2008,16000JEAS01A,JAVAMQ, 22-set
SITOA2008,22210SMARTIT,JAVAMQ, 22-set
SITOA2008,22220SMARTIT,JAVAMQ, 22-set
SITOB2008,03595FMSIM1T,FEI, 22-set
SITOB2008,03595FMSIM2T,FEI, 22-set
SITOB2008,12431SISISVT,JAVAMQ, 22-set
SITOC2008,300003RNIG1T,CICSMQ, 22-set
SITOC2008,31010SMARTIT,JAVAMQ, 22-set
SITOC2008,83400DEPGW4T,JAVAMQ, 22-set
SITOD2008,400012RNIG4T,CICSMQ, 22-set
SITOD2008,41000SMARTIT,JAVAMQ, 22-set
SITOD2008,44500DEPIN2D,JAVAMQ, 22-set
SITOL2016,55100ITPSM1T,JAVAMQ, 22-set
