Eas,LSite id,LSite,CICS id,Charset,Endiannes,Impl,Test/Prod,MQ prefix,sync,e2e-ext,zlib
T0001SMARTIT,9,SITOG2008,SMARTIT,ASCII,BIG,JAVAMQ,T,SMARTIT.,YES,YES,YES
J8503SMARTIT,1,SITOA2008,SISJ8503,ASCII,BIG,JAVAMQ,T,SIS.J8503.,YES,YES,YES
03268FMSIM3T,2,SITOB2008,FEMSIM3T,ASCII,LITTLE,FEI,T,,YES,NO,NO
03595FMSIM1T,2,SITOB2008,FEMSIM1T,ASCII,LITTLE,FEI,T,,YES,NO,NO
03595FMSIM2T,2,SITOB2008,FEMSIM2T,ASCII,LITTLE,FEI,T,,YES,NO,NO
03268FMSIM4T,2,SITOB2008,FEMSIM4T,ASCII,LITTLE,FEI,T,,YES,NO,YES
43500DEPIN3D,4,SITOD2008,DEPIN3D,ASCII,BIG,JAVAMQ,T,ACTOR.DEPIN3D.,YES,YES,YES
16000JEAS01A,1,SITOA2008,JEAS01A,ASCII,BIG,JAVAMQ,T,JEAS01A.16000.,YES,NO,YES
J8504SMARTIT,1,SITOA2008,SISJ8504,ASCII,BIG,JAVAMQ,T,SIS.J8504.,YES,YES,YES
99999SISISVT,2,SITOB2008,SISISVTT,ASCII,BIG,JAVAMQ,T,SISISVT.,YES,YES,YES
11111SMARTIT,100,SITOH2008,SIS11111,ASCII,BIG,JAVAMQ,T,SIS.11111.,YES,YES,YES
12431SISISVT,2,SITOB2008,1SISISVT,ASCII,BIG,JAVAMQ,T,SISISVT.,YES,YES,YES
11110SMARTIT,100,SITOH2008,SIS11110,ASCII,BIG,JAVAMQ,T,SIS11110.,YES,YES,YES
31010SMARTIT,3,SITOC2008,SIS31010,ASCII,BIG,JAVAMQ,T,SIS31010.,YES,YES,YES
22210SMARTIT,1,SITOA2008,SIS22210,ASCII,BIG,JAVAMQ,T,SIS.22210.,YES,YES,YES
55555SMARTIT,9,SITOG2008,SIS55555,ASCII,BIG,JAVAMQ,T,SIS.55555.,YES,YES,YES
22222SMARTIT,1,SITOA2008,SIS22222,ASCII,BIG,JAVAMQ,T,SIS.22222.,YES,YES,YES
55100ITPSM1T,12,SITOL2016,ITPSM1T,ASCII,BIG,JAVAMQ,T,ITPSM1T.,YES,YES,YES
31000SMARTIT,3,SITOC2008,SIS31000,ASCII,BIG,JAVAMQ,T,SIS.31000.,YES,YES,YES
12431DEPISVT,2,SITOB2008,DEPGISVT,ASCII,BIG,JAVAMQ,T,GATEW.DEPGIST.,YES,YES,YES
41000SMARTIT,4,SITOD2008,SIS41000,ASCII,BIG,JAVAMQ,T,SIS.41000.,YES,YES,YES
12930ACTATST,2,SITOB2008,ACTATSTT,ASCII,BIG,JAVAMQ,T,ACTOR.ACTATST.,YES,YES,YES
99998ISVSIS1,2,SITOB2008,ISVSIS1T,ASCII,BIG,JAVAMQ,T,ACTOR.99998.,YES,YES,YES
22220SMARTIT,1,SITOA2008,SIS22220,ASCII,BIG,JAVAMQ,T,SIS22220.,YES,YES,YES
55000ITPGW1T,12,SITOL2016,ITPGW1T,ASCII,BIG,JAVAMQ,T,ITPGW1T.,YES,YES,YES
83400DEPGW4T,3,SITOC2008,DEPGW4T,ASCII,BIG,JAVAMQ,T,DEPGW4T_83400.,YES,YES,YES
31500DEPGW1C,3,SITOC2008,DEPGW1C,ASCII,BIG,JAVAMQ,T,GATEW.DEPGW1C.,YES,YES,YES
37500DEPGW2C,3,SITOC2008,DEPGW2C,ASCII,BIG,JAVAMQ,T,GATEW.DEPGW2C.,YES,YES,YES
41500DEPIN1D,4,SITOD2008,DEPIN1D,ASCII,BIG,JAVAMQ,T,ACTOR.DEPIN1D.,YES,YES,YES
44500DEPIN2D,4,SITOD2008,DEPIN2D,ASCII,BIG,JAVAMQ,T,ACTOR.DEPIN2D.,YES,YES,YES
83100DEPIN4T,9,SITOG2008,DEPIN4T,ASCII,BIG,JAVAMQ,T,DEPIN4T_83100.,YES,YES,YES
20000XRNIG3T,2,SITOB2008,XS1RNIG3,EBCDIC,BIG,CICSMQ,T,RNI001.XS1RNIG3.,YES,YES,YES
300003RNIG1T,3,SITOC2008,XB3RNIG1,EBCDIC,BIG,CICSMQ,P,RNICB3.XB3RNIG1.,YES,NO,NO
20001XRNIG8T,2,SITOB2008,XS2RNIG8,EBCDIC,BIG,CICSMQ,T,RNI002.XS2RNIG8.,YES,NO,NO
400002RNIG1T,4,SITOD2008,XS2RNIG1,EBCDIC,BIG,CICSMQ,T,RNI002.XS2RNIG1.,YES,YES,YES
400012RNIG4T,4,SITOD2008,XS2RNIG4,EBCDIC,BIG,CICSMQ,T,RNICS2.XS2RNIG4.,YES,YES,YES
88504FMSIM2T,1,SITOA2008,FEMSIM2T,ASCII,LITTLE,FEI,P,,YES,NO,NO
10001XRNIG5T,1,SITOA2008,CXS2AU05,EBCDIC,BIG,CICSMQ,T,RNI002.XS2RNIG5.,YES,NO,YES
10000XRNIG2T,1,SITOA2008,XS2RNIG2,EBCDIC,BIG,CICSMQ,T,RNI002.XS2RNIG2.,YES,NO,YES
30001XRNIG3T,3,SITOC2008,XS2RNIG3,EBCDIC,BIG,CICSMQ,T,RNI002.XS2RNIG3.,YES,NO,NO
